run number,ridf events,run type,Ion Chamber,PPAC,Plastic,NEULAND,NEULANDVETO,SAMURAIBDC1,SAMURAIBDC2,Custom TOF,DC TPF,Placekeeper
1988,-1,,,,,,,,,,1931,0
1989,-1,9,,,,,,,,,1931,0
1990,-1,9,,,,,,,,,1931,0
1991,-1,9,,,,,,,,,1931,0
1992,-1,9,,,,,,,,,1931,0
1993,-1,9,,,,,,,,,1931,0
1994,-1,9,,,,,,,,,1931,0
1995,-1,9,,,,,,,,,1931,0
1996,-1,9,,,,,,,,,1931,0
1997,-1,9,,,,,,,,,1931,0
1998,-1,9,,,,,,,,,1931,0
1999,-1,9,,,,,,,,,1931,0
2000,-1,9,,,,,,,,,1931,0
2001,-1,9,,,,,,,,,1931,0
2002,-1,9,,,,,,,,,1931,0
2003,-1,9,,,,,,,,,1931,0
2004,-1,,,,,,,,,,1931,0
2005,-1,9,,,,,,,,,1931,0
2006,-1,,,,,,,,,,1931,0
2007,-1,,,,,,,,,,1931,0
2008,-1,9,,,,,,,,,1931,0
2009,-1,,,,,,,,,,1931,0
2010,-1,,,,,,,,,,1931,0
2011,-1,9,,,,,,,,,1931,0
2012,-1,9,,,,,,,,,1931,0
2013,-1,9,,,,,,,,,1931,0
2014,-1,9,,,,,,,,,1931,0
2015,-1,9,,,,,,,,,1931,0
2016,-1,9,,,,,,,,,1931,0
2017,-1,9,,,,,,,,,1931,0
2018,-1,9,,,,,,,,,1931,0
2019,-1,,,,,,,,,,1931,0
2020,-1,9,,,,,,,,,1931,0
2021,-1,9,,,,,,,,,1931,0
2022,-1,9,,,,,,,,,1931,0
2023,-1,9,,,,,,,,,1931,0
2024,-1,9,,,,,,,,,1931,0
2025,-1,9,,,,,,,,,1931,0
2026,-1,9,,,,,,,,,1931,0
2027,-1,9,,,,,,,,,1931,0
2028,-1,9,,,,,,,,,1931,0
2029,-1,9,,,,,,,,,1931,0
2030,-1,9,,,,,,,,,1931,0
2031,-1,9,,,,,,,,,1931,0
2032,-1,9,,,,,,,,,1931,0
2033,-1,9,,,,,,,,,1931,0
2034,-1,9,,,,,,,,,1931,0
2035,-1,9,,,,,,,,,1931,0
