NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-47,13,H,0,47,1,27,1196,3285,1203,3290,1,50,1188,3280,1202,3284,56.9266,32.246,8.06273,0.997715,0.0636902,532.435,2,9,12,6,1,4,5,2,5,1,11165
NeuLANDPla0H-48,13,H,0,48,1,48,1140,3283,1203,3290,1,31,1209,3281,1202,3284,57.816,31.6993,8.1148,1.00139,0.0613541,438.259,2,9,11,6,1,4,5,1,5,1,11165
NeuLANDPla0H-49,13,H,0,49,1,13,1228,3290,1203,3290,1,32,1174,3282,1202,3284,57.5305,31.4662,8.10113,0.988665,0.0626443,354.5,2,9,10,6,1,4,5,0,5,1,11165
NeuLANDPla1V-0,13,V,1,0,1,25,1276,3271,1158,3279,1,51,1191,3278,1203,3290,9.14703,65.098,8.16183,0.989855,0.0643224,394.121,1,8,7,6,0,2,9,9,6,1,11215
NeuLANDPla1V-1,13,V,1,1,1,21,1281,3282,1158,3279,1,9,1210,3278,1203,3290,9.20973,65.4078,8.22579,0.911875,0.0605639,482.004,1,8,6,6,0,2,9,8,6,1,11215
NeuLANDPla1V-2,13,V,1,2,1,19,1193,3275,1158,3279,1,0,1210,3273,1211,3275,8.81856,65.242,8.19442,0.998191,0.0657314,516.124,1,8,5,6,0,2,10,7,6,1,11215
NeuLANDPla1V-3,13,V,1,3,1,18,1281,3288,1158,3279,1,5,1247,3281,1211,3275,8.61916,65.5282,8.13942,1.0101,0.0656793,499.059,1,8,4,6,0,2,10,6,6,1,11215
NeuLANDPla1V-4,13,V,1,4,1,11,1286,3280,1158,3279,1,2,1219,3265,1211,3275,9.50304,64.9171,8.19693,0.985379,0.0654315,441.48,1,8,3,6,0,2,10,5,6,1,11215
NeuLANDPla1V-5,13,V,1,5,1,61,1285,3284,1158,3279,1,67,1241,3277,1211,3275,10.1862,64.5367,8.23206,1.00603,0.0674671,495.859,1,8,2,6,0,2,10,4,6,1,11215
NeuLANDPla1V-6,13,V,1,6,1,23,1201,3276,1158,3279,1,2,1202,3263,1211,3275,7.83035,64.4805,8.21049,0.993566,0.0650001,609.981,1,8,1,6,0,2,10,3,6,1,11215
NeuLANDPla1V-7,13,V,1,7,1,14,1290,3286,1158,3279,1,22,1240,3274,1211,3275,8.85529,64.7492,8.24407,0.981178,0.0666593,481.373,1,8,0,6,0,2,10,2,6,1,11215
NeuLANDPla1V-8,13,V,1,8,1,42,1265,3282,1158,3279,1,17,1292,3273,1211,3275,9.03455,65.4027,8.16602,1.01232,0.0639174,573.901,1,8,15,6,0,2,10,1,6,1,11215
NeuLANDPla1V-9,13,V,1,9,1,21,1219,3282,1158,3279,1,62,1226,3283,1211,3275,9.64298,64.882,8.16784,1.00596,0.0650014,491.395,1,8,14,6,0,2,10,0,6,1,11215
NeuLANDPla1V-10,13,V,1,10,1,27,1235,3285,1158,3279,1,33,1238,3275,1211,3275,8.78279,65.0033,8.18037,0.996439,0.0638186,552.006,1,8,13,6,0,2,10,15,6,1,11215
NeuLANDPla1V-11,13,V,1,11,1,63,1220,3284,1158,3279,1,5,1165,3280,1211,3275,8.41735,65.431,8.14036,1.0073,0.0643002,496.703,1,8,12,6,0,2,10,14,6,1,11215
NeuLANDPla1V-12,13,V,1,12,1,29,1253,3282,1158,3279,1,2,1253,3280,1211,3275,8.26662,65.0654,8.22157,0.997683,0.0649541,518.67,1,8,11,6,0,2,10,13,6,1,11215
NeuLANDPla1V-13,13,V,1,13,1,71,1244,3285,1158,3279,1,80,1177,3283,1211,3275,8.74741,64.6954,8.18807,0.98243,0.0632931,571.476,1,8,10,6,0,2,10,12,6,1,11215
NeuLANDPla1V-14,13,V,1,14,1,17,1302,3278,1158,3279,1,71,1176,3269,1211,3275,9.52187,65.8203,8.17494,1.00408,0.06478,481.873,1,8,9,6,0,2,10,11,6,1,11215
NeuLANDPla1V-15,13,V,1,15,1,50,1198,3279,1158,3279,1,2,1234,3281,1211,3275,8.9139,65.262,8.13195,1.00797,0.0656067,461.319,1,8,8,6,0,2,10,10,6,1,11215
NeuLANDPla1V-16,13,V,1,16,1,6,1182,3279,1141,3281,1,8,1190,3268,1211,3275,6.47127,63.7155,8.18888,1.03368,0.0650555,600.827,1,9,7,6,0,2,10,9,6,1,11215
NeuLANDPla1V-17,13,V,1,17,1,34,1309,3271,1141,3281,1,64,1205,3279,1211,3275,5.54612,63.8734,8.1726,0.977685,0.0651336,476.457,1,9,6,6,0,2,10,8,6,1,11215
NeuLANDPla1V-18,13,V,1,18,1,12,1172,3281,1141,3281,1,7,1144,3279,1159,3283,5.06408,63.5587,8.17168,1.01573,0.0652958,525.425,1,9,5,6,0,3,1,7,5,0,11215
NeuLANDPla1V-19,13,V,1,19,1,44,1232,3273,1141,3281,1,7,1126,3277,1159,3283,5.32966,63.1096,8.2048,0.988619,0.0643509,469.773,1,9,4,6,0,3,1,6,5,0,11215
NeuLANDPla1V-20,13,V,1,20,1,46,1172,3281,1141,3281,1,10,1239,3283,1159,3283,5.97467,62.8635,8.28498,0.996493,0.0647405,582.71,1,9,3,6,0,3,1,5,5,0,11215
NeuLANDPla1V-21,13,V,1,21,1,19,1215,3280,1141,3281,1,32,1213,3281,1159,3283,6.01978,62.8948,8.18589,0.991554,0.064975,510.764,1,9,2,6,0,3,1,4,5,0,11215
NeuLANDPla1V-22,13,V,1,22,1,16,1170,3279,1141,3281,1,6,1233,3283,1159,3283,4.47422,63.5957,8.22402,0.999411,0.064999,594.025,1,9,1,6,0,3,1,3,5,0,11215
